Lemma;Cx;Cx-Prs;Verb_type1;Contingency;Contingency-Coarse;Intention;Intention-Coarse;Link_to_t0;Link_to_t0-Coarse;Temporal_proximityA;Temporal_proximityA-ORD;Speaker_certaintyD;Speaker_certaintyD-ORD;Person_animacy
come trough;will;W-3rd;motion;independent;independent;non-intentional;non-intentional;detached;detached;2_proximal;2_proximal;3_;3_;3rd-animate
come;will;W-3rd;motion;independent;independent;non-intentional;non-intentional;detached;detached;2_proximal;2_proximal;2_;2_;3rd-animate
have to;will;W-3rd;obligation;contingent (if-clause);contingent ;speaker-intention;intentional;detached;detached;2_proximal;2_proximal;1_;1_;3rd-animate
have to;will;W-3rd;obligation;independent;independent;non-intentional;non-intentional;attached (conditions in place);attached ;2_proximal;2_proximal;2_;2_;3rd-animate
understand;will;W-3rd;perception;independent;independent;non-intentional;non-intentional;detached;detached;5_distal;5_distal;1_;1_;3rd-animate
understand;will;W-3rd;perception;independent;independent;non-intentional;non-intentional;detached;detached;4_neutral;4_neutral;2_;2_;3rd-animate
assume;will;W-3rd;perception;independent;independent;non-intentional;non-intentional;attached (conditions in place);attached ;4_neutral;4_neutral;1_;1_;3rd-animate
see;will;W-3rd;perception;contingent (X then Y);contingent ;non-intentional;non-intentional;detached;detached;4_neutral;4_neutral;1_;1_;3rd-animate
love;will;W-3rd;psych-verbs;independent;independent;non-intentional;non-intentional;detached;detached;4_neutral;4_neutral;1_;1_;3rd-animate
love;will;W-3rd;psych-verbs;independent;independent;non-intentional;non-intentional;detached;detached;5_distal;5_distal;1_;1_;3rd-animate
wait;will;W-3rd;psych-verbs;independent;independent;subject-intention;intentional;attached (decision taken);attached ;5_distal;5_distal;1_;1_;3rd-animate
be DESCRIPT;will;W-3rd;psych-verbs;contingent (if-clause);contingent ;non-intentional;non-intentional;detached;detached;4_neutral;4_neutral;3_;3_;3rd-animate
discuss  ;will;W-3rd;social interaction;independent;independent;subject-intention;intentional;attached (decision taken);attached ;4_neutral;4_neutral;1_;1_;3rd-animate
marry;will;W-3rd;social interaction;independent;independent;subject-intention;intentional;detached;detached;5_distal;5_distal;1_;1_;3rd-animate
condemn;will;W-3rd;social interaction;contingent (if-clause);contingent ;subject-intention;intentional;detached;detached;4_neutral;4_neutral;2_;2_;3rd-animate
call;will;W-3rd;social interaction;contingent (if-clause);contingent ;non-intentional;non-intentional;detached;detached;4_neutral;4_neutral;1_;1_;3rd-animate
go out;will;W-3rd;social interaction;contingent (if-clause);contingent ;speaker-intention;intentional;detached;detached;2_proximal;2_proximal;3_;3_;3rd-animate
pick;will;W-3rd;social interaction;contingent (if-clause);contingent ;non-intentional;non-intentional;detached;detached;4_neutral;4_neutral;3_;3_;3rd-animate
be ING;will;W-3rd;social interaction;contingent (when-clause);contingent ;subject-intention;intentional;detached;detached;4_neutral;4_neutral;1_;1_;3rd-animate
be PASSIVE;will;W-3rd;action verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;3rd-inanimate
kill;will;W-3rd;action verbs;independent;independent;non-intentional;non-intentional;detached;detached;3_unknown;3_unknown;1_;1_;3rd-inanimate
be PASSIVE;will;W-3rd;action verbs;independent;independent;non-intentional;non-intentional;detached;detached;3_unknown;3_unknown;1_;1_;3rd-inanimate
be PASSIVE;will;W-3rd;action verbs;independent;independent;non-intentional;non-intentional;detached;detached;4_neutral;4_neutral;1_;1_;3rd-inanimate
be PASSIVE;will;W-3rd;action verbs;independent;independent;subject-intention;intentional;attached (decision taken);attached ;4_neutral;4_neutral;1_;1_;3rd-inanimate
be PASSIVE;will;W-3rd;action verbs;independent;independent;non-intentional;non-intentional;attached (imminent);attached ;1_imminent;1_imminent;3_;3_;3rd-inanimate
